Filename,Cluster
742633408c66d22cf383e7a694f7c5f2e1baa34a,1
743864370ce52ac3989d5002a8b842950f945070,0
7440678636111db7761a2c0773c185ae7c6b1d37,11
74447377215cc8f54da8c1c4f6cf6892619e4881,6
745823228f19cec28a701d46d89751f4870290b4,10
74677364757e7ec439fcc2a03a4b0696c9b0257f,5
751630452e74222b5d22be70bcbcc81b5e182697,6
75753907261fcbde76ad02de57e6386f5797bf75,2
758120586f7a2563c85c99cea8e01aafa104fc4b,13
7611346343f1fa59835613fba3cce93a8055f6f3,0
76443289792afd673b79e9631bcbb3c127cd0f06,10
7653629238add4918925f80caf6f5cdce8acd62f,13
766312343a3e528a6adcda20e8b5a411b688213b,3
7686464978fb77d0eaaa49e9d8994bf14bf8d98e,10
770264591ae3dd92e70819ff1ce5cc57fa82c6ee,4
77161660455a1a906be7f5bc2385cee2e5278c76,1
774982263882aa093829bbe532a54c8d4cab7064,6
775303880ce8f660659b00f17d1f1c419a9753ab,11
775467511f2068917c8ced4d9ab7c59dd18e59e3,9
775509579a91571c0519989a5397afaf6eecc26c,14
77786483324bae6001d212dd01df27b1d2bbdd94,0
782368425be10191269cb4f15b0ed6e02a6c3e33,10
782376122fa2fb230948ed73468211394252aff1,9
7881559111a96aeffcc4d24e5d7286d06618d79e,4
788655831eada43d88a9235021fa0e9ac805e5fa,0
789559673177cd1966514677230dd5f1302953d9,1
78957149946f326d5b29533d076d4746a01b8336,0
796729664b5165e903c940f16c68e65e58d59d4d,10
7973813352e19ed8e315b5ed2712e7c68debbebe,2
79761058874fa07d5602c523e177af89a7f3cfcb,9
79770440253639b4f151a873e913fbf6737274cf,0
7978112601f949f7e4dbb6ddb5dff91297aa90b2,11
79840987217135b68b7621f3b123b88cfec0451c,14
798583093b4b73296ee52130bb5b63f1e982008d,13
804439090fd3281ab534393af743252290ebd9ef,1
8048951982b4e019fee5b0faa13d8f28407a67f4,5
805076191df15b65bf838a94b9d314a87f6fe679,11
809927280dc098f188cbf4d9782c50e5c63a25bb,1
81009427629f955e087e90173e2c31cd41ab8616,3
811273499ead879bd9aaa6c98594fc3f9dd15eea,6
812135704e2429bd14e4114406c1017247021202,13
8127948595e0b4b396959ec10241d407df554110,6
813142105f2d629b44c545abc478c6e548075a8c,7
813244281956c7075e3a70dae6851354bd95a198,3
815064304bffee7e4c78b2e9bc2f7e148564f828,14
8150677731b2d86a2d4e272ae7f0bd4fa4578c83,0
8156840509c80b0403f3d0a9cbdbb08bef9beaa8,14
815895985c538f0c97b140e6e7a6c9982057e8bb,2
8161042711db6cf63d2a2eed6b4503d586c74a8b,14
81620653782ee8d37da2aa1f4a652523072c07ae,1
81885568170be0e9b42bb3789019ee69fd085369,13
819584983399417d3cf580c4856eb07f5e5b0527,0
8255147683807c6641f0e88ac913daf4ae18d0b0,2
8282057957e95a485ab256d3faa66e30326308d1,1
829900563a6f9f0990f2acc4a0ce9a3753a82f06,10
8299230606689bd6ef473a6168213b1cae3413c6,1
83276063929647d8b040d5ea8b8910bea6ffc6eb,4
83366129477be8033154db1dcf350ffe62ca6a0f,10
83463971437bd31e60379361816618dff1ab6f35,4
834660637f05b7377c099eea0df2bb7cf4c6afdd,13
83471842330d9a3fe4597e12209ad45ede841c2d,9
835889967e9ef51598b11578c2353dd2a30f0019,3
840263015e013328d2f2bf04031e2e956638d3da,11
840328747065ab1560f3bd0faf4998d48fa22fef,14
842316111fe333f8a02da019e676681c88e0f124,1
8429619840e58c94fd0d5d9ae75d724305869ec9,11
